"지역
(읍면동)","인원
(명)"
경기도 시흥시 정왕본동,53
대전광역시 서구 월평2동,35
광주광역시 서구 치평동,32
전라북도 전주시 덕진구 덕진동,31
인천광역시 미추홀구 주안5동,30
전라남도 목포시 용해동,26
경기도 수원시 팔달구 인계동,25
경기도 안산시 상록구 사동,24
부산광역시 기장군 정관읍,24
서울특별시 금천구 가산동,23
경기도 부천시 중동,23
경기도 파주시 교하동,23
전라북도 익산시 영등2동,22
전라남도 순천시 해룡면,22
전라북도 전주시 완산구 효자5동,22
인천광역시 남동구 간석4동,22
광주광역시 광산구 신창동,22
대구광역시 달서구 신당동,22
충청북도 청주시 청원구 오창읍,21
광주광역시 동구 충장동,21
경상남도 진주시 하대동,21
대구광역시 달성군 다사읍,21
인천광역시 계양구 계양2동,20
경기도 안산시 단원구 초지동,20
전라남도 목포시 상동,20
충청남도 천안시 동남구 신안동,20
광주광역시 북구 용봉동,20
광주광역시 광산구 하남동,20
인천광역시 남동구 구월4동,19
충청남도 천안시 서북구 부성동,19
서울특별시 강남구 신사동,19
경기도 화성시 동탄2동,18
충청북도 청주시 흥덕구 강서제1동,18
경기도 김포시 양촌읍,18
경상남도 양산시 물금읍,18
경기도 부천시 약대동,18
울산광역시 남구 삼산동,18
인천광역시 서구 청라1동,18
전라북도 전주시 완산구 평화2동,17
경상남도 김해시 북부동,17
경기도 안산시 상록구 월피동,17
경기도 성남시 중원구 중앙동,17
광주광역시 광산구 첨단2동,17
경기도 고양시 일산서구 송산동,17
경기도 부천시 역곡2동,17
광주광역시 광산구 수완동,16
경기도 고양시 덕양구 흥도동,16
경기도 수원시 영통구 원천동,16
인천광역시 부평구 부평5동,16
대전광역시 대덕구 송촌동,16
서울특별시 광진구 화양동,16
제주특별자치도 서귀포시 대정읍,16
경기도 안산시 단원구 원곡동,16
경기도 안산시 단원구 중앙동,16
전라북도 군산시 수송동,16
경기도 성남시 분당구 정자1동,15
충청남도 아산시 배방읍,15
경기도 안산시 단원구 선부3동,15
전라북도 전주시 덕진구 호성동,15
부산광역시 강서구 녹산동,15
전라남도 무안군 삼향읍,15
광주광역시 광산구 운남동,15
인천광역시 서구 검암경서동,15
세종특별자치시 새롬동,15
충청북도 청주시 흥덕구 옥산면,15
광주광역시 북구 양산동,14
경상남도 통영시 도천동,14
경기도 광주시 송정동,14
경기도 안산시 상록구 일동,14
광주광역시 광산구 송정2동,14
경기도 평택시 송북동,14
광주광역시 북구 오치1동,14
경기도 평택시 팽성읍,14
광주광역시 서구 유덕동,14
경기도 부천시 오정동,13
전라북도 전주시 완산구 서신동,13
전라남도 강진군 군동면,13
경기도 화성시 진안동,13
서울특별시 관악구 조원동,13
경상남도 양산시 서창동,13
인천광역시 서구 연희동,13
경기도 파주시 금촌3동,13
전라남도 목포시 옥암동,13
경기도 남양주시 화도읍,13
제주특별자치도 제주시 노형동,13
대구광역시 동구 안심1동,13
충청남도 아산시 온양4동,13
서울특별시 용산구 후암동,12
충청남도 홍성군 홍성읍,12
경기도 평택시 송탄동,12
대전광역시 서구 월평3동,12
경기도 화성시 동탄1동,12
부산광역시 기장군 기장읍,12
강원도 원주시 호저면,12
부산광역시 부산진구 전포제2동,12
광주광역시 서구 서창동,12
부산광역시 사상구 감전동,12
경기도 이천시 중리동,12
경상북도 칠곡군 석적읍,12
충청남도 논산시 취암동,12
경기도 고양시 일산서구 송포동,12
충청북도 청주시 흥덕구 봉명2.송정동,12
대구광역시 서구 비산2.3동,12
경기도 화성시 향남읍,11
광주광역시 북구 두암3동,11
인천광역시 중구 영종동,11
경상남도 양산시 소주동,11
광주광역시 북구 매곡동,11
충청남도 예산군 예산읍,11
부산광역시 부산진구 당감제2동,11
경기도 파주시 문산읍,11
경기도 용인시 처인구 포곡읍,11
서울특별시 영등포구 여의동,11
전라북도 김제시 요촌동,11
광주광역시 광산구 첨단1동,11
전라북도 정읍시 연지동,11
대구광역시 달성군 현풍읍,11
부산광역시 동구 초량제6동,11
인천광역시 미추홀구 학익1동,11
경기도 하남시 초이동,11
강원도 원주시 귀래면,11
경기도 시흥시 대야동,11
대구광역시 달서구 용산2동,11
부산광역시 북구 화명제3동,11
충청북도 청주시 서원구 남이면,10
전라남도 여수시 쌍봉동,10
인천광역시 부평구 부개3동,10
경상북도 경산시 북부동,10
경상남도 거제시 고현동,10
경상북도 포항시 북구 중앙동,10
경기도 광주시 광남동,10
광주광역시 남구 효덕동,10
경기도 수원시 권선구 곡선동,10
