"지역
(읍면동)","피해차량
(대)"
경기도 시흥시 정왕본동,439
전라북도 전주시 완산구 효자5동,306
제주특별자치도 제주시 이도2동,286
제주특별자치도 제주시 노형동,246
경상남도 김해시 북부동,210
광주광역시 서구 치평동,210
대구광역시 달서구 송현2동,209
경기도 안산시 단원구 초지동,204
울산광역시 남구 삼산동,198
경기도 안산시 상록구 사동,198
경기도 수원시 팔달구 인계동,197
충청남도 천안시 서북구 부성동,193
인천광역시 미추홀구 주안5동,192
경상남도 양산시 물금읍,182
대구광역시 달서구 신당동,181
광주광역시 광산구 하남동,177
광주광역시 북구 양산동,174
대구광역시 달서구 죽전동,172
부산광역시 북구 화명제3동,171
서울특별시 강남구 역삼1동,166
광주광역시 서구 유덕동,164
전라남도 목포시 상동,160
경기도 안산시 단원구 중앙동,158
인천광역시 부평구 부평5동,157
부산광역시 사하구 하단제2동,157
울산광역시 남구 달동,154
부산광역시 부산진구 부전제1동,152
전라북도 익산시 영등2동,150
서울특별시 관악구 조원동,150
인천광역시 서구 연희동,149
경상남도 김해시 내외동,144
인천광역시 남동구 간석4동,144
대구광역시 남구 대명3동,143
대전광역시 서구 월평2동,143
경기도 화성시 진안동,140
경기도 화성시 동탄1동,140
대구광역시 달서구 진천동,140
서울특별시 서초구 서초2동,139
전라북도 전주시 덕진구 덕진동,139
대구광역시 달서구 월성2동,139
광주광역시 광산구 첨단1동,138
경기도 광주시 송정동,138
경기도 수원시 영통구 원천동,137
충청북도 청주시 흥덕구 복대1동,137
부산광역시 사상구 감전동,134
인천광역시 남동구 구월4동,134
경기도 김포시 양촌읍,133
대구광역시 달성군 다사읍,133
서울특별시 강남구 압구정동,133
전라남도 순천시 왕조1동,131
충청북도 청주시 흥덕구 강서제1동,130
대전광역시 유성구 온천2동,129
전라남도 목포시 용해동,127
부산광역시 기장군 기장읍,127
충청북도 청주시 흥덕구 봉명2.송정동,126
서울특별시 노원구 상계1동,125
경상남도 거제시 고현동,125
부산광역시 수영구 망미제1동,124
인천광역시 계양구 계양2동,124
경기도 의정부시 흥선동,124
전라북도 군산시 흥남동,122
광주광역시 광산구 신창동,121
경상남도 김해시 활천동,121
경기도 평택시 중앙동,121
경상북도 포항시 북구 장량동,120
전라북도 군산시 수송동,119
경상남도 진주시 하대동,118
전라남도 목포시 옥암동,118
경기도 부천시 중동,118
서울특별시 강남구 신사동,117
충청남도 천안시 서북구 성정2동,117
충청북도 청주시 청원구 율량.사천동,117
제주특별자치도 제주시 연동,117
경기도 성남시 분당구 서현1동,116
경기도 수원시 권선구 권선1동,116
경기도 화성시 향남읍,115
대구광역시 서구 상중이동,115
대구광역시 수성구 지산1동,115
부산광역시 기장군 정관읍,115
경기도 안산시 상록구 월피동,114
경상북도 포항시 북구 중앙동,114
경상남도 창원시 의창구 팔룡동,113
경기도 성남시 분당구 정자1동,113
광주광역시 북구 용봉동,112
경기도 시흥시 정왕2동,111
경기도 부천시 약대동,111
전라북도 전주시 덕진구 호성동,110
울산광역시 북구 효문동,110
경기도 용인시 기흥구 신갈동,109
인천광역시 남동구 만수3동,109
인천광역시 남동구 구월1동,109
대구광역시 수성구 수성4가동,108
인천광역시 남동구 논현고잔동,108
전라북도 전주시 완산구 평화2동,108
경기도 용인시 처인구 중앙동,107
경상남도 김해시 장유3동,107
전라북도 전주시 완산구 서신동,106
부산광역시 강서구 녹산동,106
부산광역시 연제구 거제제1동,105
