행정동,차종,등록대수,기준일자
염창동,승용,"13,948 ",2020-12-31
염창동,승합,316 ,2020-12-31
염창동,화물,"1,296 ",2020-12-31
염창동,특수,24 ,2020-12-31
등촌1동,승용,"7,852 ",2020-12-31
등촌1동,승합,292 ,2020-12-31
등촌1동,화물,876 ,2020-12-31
등촌1동,특수,23 ,2020-12-31
등촌2동,승용,"6,203 ",2020-12-31
등촌2동,승합,169 ,2020-12-31
등촌2동,화물,619 ,2020-12-31
등촌2동,특수,11 ,2020-12-31
등촌3동,승용,"8,100 ",2020-12-31
등촌3동,승합,278 ,2020-12-31
등촌3동,화물,756 ,2020-12-31
등촌3동,특수,17 ,2020-12-31
화곡1동,승용,"13,248 ",2020-12-31
화곡1동,승합,539 ,2020-12-31
화곡1동,화물,"2,097 ",2020-12-31
화곡1동,특수,39 ,2020-12-31
화곡2동,승용,"4,086 ",2020-12-31
화곡2동,승합,210 ,2020-12-31
화곡2동,화물,604 ,2020-12-31
화곡2동,특수,13 ,2020-12-31
화곡3동,승용,"5,683 ",2020-12-31
화곡3동,승합,153 ,2020-12-31
화곡3동,화물,555 ,2020-12-31
화곡3동,특수,19 ,2020-12-31
화곡4동,승용,"5,030 ",2020-12-31
화곡4동,승합,219 ,2020-12-31
화곡4동,화물,755 ,2020-12-31
화곡4동,특수,15 ,2020-12-31
화곡본동,승용,"7,903 ",2020-12-31
화곡본동,승합,323 ,2020-12-31
화곡본동,화물,949 ,2020-12-31
화곡본동,특수,14 ,2020-12-31
화곡6동,승용,"6,888 ",2020-12-31
화곡6동,승합,235 ,2020-12-31
화곡6동,화물,772 ,2020-12-31
화곡6동,특수,11 ,2020-12-31
화곡8동,승용,"5,369 ",2020-12-31
화곡8동,승합,186 ,2020-12-31
화곡8동,화물,677 ,2020-12-31
화곡8동,특수,22 ,2020-12-31
가양1동,승용,"22,605 ",2020-12-31
가양1동,승합,844 ,2020-12-31
가양1동,화물,"2,281 ",2020-12-31
가양1동,특수,31 ,2020-12-31
가양2동,승용,"3,805 ",2020-12-31
가양2동,승합,139 ,2020-12-31
가양2동,화물,358 ,2020-12-31
가양2동,특수,4 ,2020-12-31
가양3동,승용,"5,558 ",2020-12-31
가양3동,승합,174 ,2020-12-31
가양3동,화물,562 ,2020-12-31
가양3동,특수,6 ,2020-12-31
발산1동,승용,"11,632 ",2020-12-31
발산1동,승합,578 ,2020-12-31
발산1동,화물,"1,686 ",2020-12-31
발산1동,특수,69 ,2020-12-31
우장산동,승용,"12,701 ",2020-12-31
우장산동,승합,281 ,2020-12-31
우장산동,화물,992 ,2020-12-31
우장산동,특수,37 ,2020-12-31
공항동,승용,"8,096 ",2020-12-31
공항동,승합,561 ,2020-12-31
공항동,화물,"1,644 ",2020-12-31
공항동,특수,59 ,2020-12-31
방화1동,승용,"13,081 ",2020-12-31
방화1동,승합,502 ,2020-12-31
방화1동,화물,"1,645 ",2020-12-31
방화1동,특수,40 ,2020-12-31
방화2동,승용,"8,071 ",2020-12-31
방화2동,승합,742 ,2020-12-31
방화2동,화물,"1,017 ",2020-12-31
방화2동,특수,21 ,2020-12-31
방화3동,승용,"6,605 ",2020-12-31
방화3동,승합,273 ,2020-12-31
방화3동,화물,669 ,2020-12-31
방화3동,특수,19 ,2020-12-31
